exchange,profile,mode,environment,adapter,supports_testnet,stream_base_url,retry_max_attempts,retry_max_delay,live_readiness_signed,live_readiness_signed_by,futures_margin_mode,liquidation_feed,hypercare_checklist_signed,hypercare_checklist_status,missing_required_documents,futures_checklist_id,futures_checklist_ready,hypercare_failover_status,hypercare_latency_status,hypercare_cost_status
binance,paper,spot,paper,ccxt,False,,,,False,,,http://127.0.0.1:8765,,not_configured,,,,ready,ready,ready
binance,live,spot,live,ccxt,False,,,,True,"compliance,security",,http://127.0.0.1:8765,,not_required,,,,ready,ready,ready
binance,futures_paper,futures,paper,bot_core.exchanges.binance.futures:BinanceFuturesAdapter,True,,,,False,,,http://127.0.0.1:8765,,not_configured,,,,ready,ready,ready
binance,futures_live,futures,live,bot_core.exchanges.binance.futures:BinanceFuturesAdapter,True,,,,True,"compliance,security,sre",,http://127.0.0.1:8765,,not_required,,,,ready,ready,ready
kraken,paper,spot,paper,ccxt,False,,,,False,,,,,not_configured,,,,ready,ready,ready
kraken,live,spot,live,ccxt,False,,,,False,,,,,not_configured,,,,ready,ready,ready
kraken,futures_paper,futures,paper,bot_core.exchanges.kraken.futures:KrakenFuturesAdapter,True,,,,False,,,,,not_configured,,,,ready,ready,ready
kraken,futures_live,futures,live,bot_core.exchanges.kraken.futures:KrakenFuturesAdapter,True,,,,False,,,,,not_configured,,,,ready,ready,ready
zonda,paper,spot,paper,ccxt,False,,,,False,,,,,not_configured,,,,ready,ready,ready
zonda,live,spot,live,ccxt,False,,,,False,,,,,not_configured,,,,ready,ready,ready
coinbase,paper,spot,paper,ccxt,False,,,,False,,,,,not_configured,,,,ready,ready,ready
coinbase,margin_paper,margin,paper,bot_core.exchanges.coinbase.margin:CoinbaseMarginAdapter,False,,,,False,,,,,not_configured,,,,ready,ready,ready
coinbase,futures_live,futures,live,bot_core.exchanges.coinbase.futures:CoinbaseFuturesAdapter,False,,,,False,,,,,not_configured,,,,ready,ready,ready
okx,paper,spot,paper,ccxt,False,,,,False,,,,,not_configured,,,,ready,ready,ready
okx,margin_testnet,margin,testnet,bot_core.exchanges.okx.margin:OKXMarginAdapter,True,,,,False,,cross,,,not_configured,,,,ready,ready,ready
bybit,paper,spot,paper,ccxt,False,,,,False,,,,,not_configured,,,,ready,ready,ready
bybit,futures_testnet,futures,testnet,bot_core.exchanges.bybit.futures:BybitFuturesAdapter,True,,,,False,,hedge,,,not_configured,,,,ready,ready,ready
deribit,paper,futures,paper,bot_core.exchanges.deribit.futures:DeribitFuturesAdapter,True,https://stream.hyperion.dudzian.ai/exchanges,5,3.0,False,,,https://stream.sandbox.dudzian.ai/exchanges/deribit/futures/private,,not_configured,,,,ready,ready,ready
deribit,testnet,futures,testnet,bot_core.exchanges.deribit.futures:DeribitFuturesAdapter,True,https://stream.sandbox.dudzian.ai/exchanges,5,3.0,False,,,https://stream.sandbox.dudzian.ai/exchanges/deribit/futures/private,,not_configured,,,,ready,ready,ready
deribit,live,futures,live,bot_core.exchanges.deribit.futures:DeribitFuturesAdapter,True,https://stream.hyperion.dudzian.ai/exchanges,5,3.0,True,"compliance,security,sre",,https://stream.hyperion.dudzian.ai/exchanges/deribit/futures/private,True,signed,,stage6-deribit-futures-2024q4,True,ready,ready,ready
bitmex,paper,futures,paper,bot_core.exchanges.bitmex.futures:BitmexFuturesAdapter,True,https://stream.hyperion.dudzian.ai/exchanges,5,2.5,False,,,https://stream.sandbox.dudzian.ai/exchanges/bitmex/futures/private,,not_configured,,,,ready,ready,ready
bitmex,testnet,futures,testnet,bot_core.exchanges.bitmex.futures:BitmexFuturesAdapter,True,https://stream.sandbox.dudzian.ai/exchanges,5,2.5,False,,,https://stream.sandbox.dudzian.ai/exchanges/bitmex/futures/private,,not_configured,,,,ready,ready,ready
bitmex,live,futures,live,bot_core.exchanges.bitmex.futures:BitmexFuturesAdapter,True,https://stream.hyperion.dudzian.ai/exchanges,5,2.5,True,"compliance,security,sre",,https://stream.hyperion.dudzian.ai/exchanges/bitmex/futures/private,True,signed,,stage6-bitmex-futures-2024q4,True,ready,ready,ready
